14/11/2018 12:06:42 seed: 1946	step_size: 0.01	noise: 0.01	batch_size: 4	num_best_dir: 2
14/11/2018 12:06:50 ep: 0/3000	reward: -97.42	training reward: 1.58	running mean: -97.42 
14/11/2018 12:07:00 ep: 10/3000	reward: -93.43	training reward: 5.57	running mean: -87.23 
14/11/2018 12:07:16 ep: 20/3000	reward: -118.25	training reward: -19.25	running mean: -86.03 
14/11/2018 12:07:41 ep: 30/3000	reward: -94.95	training reward: 4.05	running mean: -84.15 
14/11/2018 12:07:57 ep: 40/3000	reward: -97.85	training reward: 1.15	running mean: -83.20 
14/11/2018 12:08:11 ep: 50/3000	reward: -103.04	training reward: -4.04	running mean: -85.86 
14/11/2018 12:08:22 ep: 60/3000	reward: -96.65	training reward: 2.35	running mean: -87.81 
14/11/2018 12:08:28 ep: 70/3000	reward: -96.34	training reward: 2.66	running mean: -89.46 
14/11/2018 12:08:33 ep: 80/3000	reward: -117.52	training reward: -18.52	running mean: -90.93 
14/11/2018 12:08:38 ep: 90/3000	reward: -123.63	training reward: -24.63	running mean: -92.77 
14/11/2018 12:08:49 ep: 100/3000	reward: -94.78	training reward: 4.22	running mean: -93.53 
14/11/2018 12:08:53 ep: 110/3000	reward: -99.93	training reward: -0.93	running mean: -94.51 
14/11/2018 12:09:00 ep: 120/3000	reward: -94.56	training reward: 4.44	running mean: -96.01 
14/11/2018 12:09:07 ep: 130/3000	reward: -94.92	training reward: 4.08	running mean: -98.05 
14/11/2018 12:09:14 ep: 140/3000	reward: -95.36	training reward: 3.64	running mean: -100.16 
14/11/2018 12:09:27 ep: 150/3000	reward: -96.22	training reward: 2.78	running mean: -100.74 
14/11/2018 12:09:38 ep: 160/3000	reward: -95.33	training reward: 3.67	running mean: -100.56 
14/11/2018 12:09:48 ep: 170/3000	reward: -96.35	training reward: 2.65	running mean: -100.16 
14/11/2018 12:09:58 ep: 180/3000	reward: -103.40	training reward: -4.40	running mean: -99.86 
14/11/2018 12:10:03 ep: 190/3000	reward: -95.89	training reward: 3.11	running mean: -99.10 
14/11/2018 12:10:14 ep: 200/3000	reward: -95.64	training reward: 3.36	running mean: -99.11 
